"","OBJECTID","PL_NAME","ADDR_NUM","ADDR_ROAD","CITY","coords.x1","coords.x2","optional"
"1",1,"Waterfront","617","W Cordova St","Vancouver",491866.089425593,5459262.2219255,TRUE
"2",2,"Burrard","635","Burrard St","Vancouver",491322.323953087,5459221.83142946,TRUE
"3",3,"Granville","655","Seymour St","Vancouver",491618.406641363,5458933.78934919,TRUE
"4",4,"Stadium - Chinatown","590","Beatty St","Vancouver",492043.393489758,5458528.31197281,TRUE
"5",5,"Main","1399","Main St","Vancouver",492712.100690381,5457820.61341215,TRUE
"6",6,"Broadway","2550","Commercial Dr","Vancouver",494972.654228486,5456569.69142699,TRUE
"7",7,"Nanaimo","2450","E 29th Ave","Vancouver",495953.7161814,5455052.10204958,TRUE
"8",8,"29th Ave",NA,"E 29th Ave","Vancouver",496658.567446057,5454602.72182516,TRUE
"9",9,"Joyce","5099","Joyce St","Vancouver",497687.850135015,5453957.72838456,TRUE
"10",10,"Patterson","4107","Beresford St","Burnaby",499082.548376314,5453001.88611167,TRUE
"11",11,"Metrotown","4401","Beresford St","Burnaby",499723.290968911,5452561.33359926,TRUE
"12",12,"Royal Oak","5199","Beresford St","Burnaby",500838.72837795,5451925.21814266,TRUE
"13",13,"Edmonds","6144","18th Ave","Burnaby",502965.70169193,5451045.58738984,TRUE
"14",14,"22nd St","649","22nd St","New Westminster",503722.528156635,5449696.29887659,TRUE
"15",15,"New West","32","8th St","New Westminster",506362.330335094,5449845.58671673,TRUE
"16",16,"Columbia","435","Columbia St","New Westminster",506832.128031531,5450221.37353308,TRUE
"17",17,"Scott Road","12515","110th Ave","Surrey",509166.392033705,5450185.07753304,TRUE
"18",18,"Gateway","13401","108th Ave","Surrey",510884.347171305,5449599.1853405,TRUE
"19",19,"Surrey Central","10277","135th St","Surrey",511087.664387495,5448532.7814355,TRUE
"20",20,"King George","9875","King George Hwy","Surrey",511327.165923718,5447780.3180748,TRUE
"21",21,"Commercial","1725","E Broadway","Vancouver",495025.115732535,5456682.45657909,TRUE
"22",22,"Renfrew","2799","Renfrew St","Vancouver",496706.325334101,5456242.59241868,TRUE
"23",23,"Rupert","2698","Rupert St","Vancouver",497615.390102948,5456449.11347488,TRUE
"24",24,"Gilmore","2199","Gilmore Ave","Burnaby",498988.998968227,5456884.40704328,TRUE
"25",25,"Brentwood","4533","Lougheed Hwy","Burnaby",499877.385465054,5457071.20397146,TRUE
"26",26,"Holdom","2111","Holdom Ave","Burnaby",501303.045850382,5456885.36211528,TRUE
"27",27,"Sperling","2800","Sperling Ave","Burnaby",502637.875003625,5456265.67766671,TRUE
"28",28,"Lake City","3191","Lake City Way","Burnaby",504438.561885302,5455762.73616224,TRUE
"29",29,"Production Way","3298","Production Way","Burnaby",505950.61379071,5455632.43046612,TRUE
"30",30,"Lougheed","9677","Lougheed Hwy","Burnaby",507498.612928152,5455083.52272161,TRUE
"31",31,"Braid",NA,NA,"New Westminster",508528.890115152,5453391.61992832,TRUE
"32",32,"Sapperton",NA,NA,"New Westminster",508058.438130805,5452444.95640559,TRUE
"33",33,"VCC - Clark",NA,"Great Northern Way","Vancouver",494228.657542729,5457014.96490571,TRUE
